relative_path,title,year,codec,resolution,width,height,fps,duration_sec,size_gb,bitrate_kbps,bpp,status_flag,audio
Dead.Poets.Society.1989.BluRay.1080p.DDP.5.1.x264-hallowed/Dead.Poets.Society.1989.BluRay.1080p.DDP.5.1.x264-hallowed.mkv,Dead Poets Society,1989,H264,1080p,1920,1040,23.976,7808.74,11.45,12592.6,0.263,RES-ANOMALY,EAC3 6ch
Demon.Slayer.Kimetsu.no.Yaiba.Infinity.Castle.2025.1080p.BluRay.EAC3.AV1-TiZU/Demon.Slayer.Kimetsu.no.Yaiba.Infinity.Castle.2025.1080p.BluRay.EAC3.AV1-TiZU.mkv,Demon Slayer Kimetsu no Yaiba Infinity Castle,2025,AV1,1080p,1920,1080,23.976,9295.84,7.04,6508.2,0.1309,RES-ANOMALY,EAC3 6ch
Det.Sjunde.Inseglet.1957.2160p.UHD.BluRay.FLAC.1.0.DV.x265-W4NK3R-xpost/Det.Sjunde.Inseglet.1957.2160p.UHD.BluRay.FLAC.1.0.DV.x265-W4NK3R-xpost.mkv,Det Sjunde Inseglet,1957,HEVC,2160p,2972,2160,24.0,5831.2,32.95,48540.2,0.3151,REFERENCE/HEAVY,FLAC 1ch
Dial.M.for.Murder.1954.1080p.BluRay.FLAC.x264-EA/Dial.M.for.Murder.1954.1080p.BluRay.FLAC.x264-EA.mkv,Dial M for Murder,1954,H264,1080p,1920,1080,23.976,6324.32,15.01,20393.3,0.4102,RES-ANOMALY,FLAC 1ch
Die.fabelhafte.Welt.der.Amelie.2001.German.DTS.DL.1080p.BDRip.AV1-WOTT/Die.fabelhafte.Welt.der.Amelie.2001.German.DTS.DL.1080p.BDRip.AV1-WOTT.mkv,Die fabelhafte Welt der Amelie,2001,AV1,1080p,1920,1080,24.0,7339.14,7.7,9014.4,0.1811,RES-ANOMALY,EAC3 6ch
Die.Hard.1988.2160p.BluRay.DTS-HD.MA.5.1.HDR10.AV1-RandH/Die.Hard.1988.2160p.BluRay.DTS-HD.MA.5.1.HDR10.AV1-RandH.mkv,Die Hard,1988,AV1,2160p,3840,2160,23.976,7926.92,12.19,13209.2,0.0664,OPTIMAL,DTS 6ch
Die.My.Love.2025.UHD.BluRay.2160p.DDP.5.1.HDR10+.x265-hallowed/Die.My.Love.2025.UHD.BluRay.2160p.DDP.5.1.HDR10+.x265-hallowed.mkv,Die My Love,2025,HEVC,2160p,2880,2160,24.0,7126.0,15.51,18699.0,0.1252,OPTIMAL,EAC3 6ch
Disclosure Day 2026 HYBRID 2160p MA WEB-DL DDP5 1 Atmos DV HDR10P H 265-BYNDR/Disclosure Day 2026 HYBRID 2160p MA WEB-DL DDP5 1 Atmos DV HDR10P H 265-BYNDR.mkv,Disclosure Day,2026,HEVC,2160p,3840,2160,23.976,8738.56,24.68,24259.6,0.122,OPTIMAL,EAC3 6ch
Django.Unchained.2012.1080p.BluRay.Opus.5.1.AV1-onlyfaffs/Django.Unchained.2012.1080p.BluRay.Opus.5.1.AV1-onlyfaffs.mkv,Django Unchained,2012,AV1,1080p,1920,1080,23.976,9922.91,4.21,3647.4,0.0734,RES-ANOMALY,OPUS 6ch
Double.Indemnity.1944.1080p.Bluray.OPUS.1.0.AV1-WhiskeyJack/Double.Indemnity.1944.1080p.Bluray.OPUS.1.0.AV1-WhiskeyJack.mkv,Double Indemnity,1944,AV1,1080p,1920,1461,23.976,6475.15,5.3,7030.3,0.1045,RES-ANOMALY,OPUS 1ch
